Unnamed: 0,artist_name,track_name,release_date,genre,lyrics,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,topic,age,emotion,shazam_link
0,mukesh,mohabbat bhi jhoothi,1950,pop,hold time feel break feel untrue convince speak voice tear try hold hurt try forgive okay play break string feel heart want feel tell real truth hurt lie worse anymore little turn dust play house ruin run leave save like chase train late late tear try hold hurt try forgive okay play break string feel heart want feel tell real truth hurt lie worse anymore little run leave save like chase train know late late play break string feel heart want feel tell real truth hurt lie worse anymore little know little hold time feel,95,0.0005980861262889,0.0637461276114993,0.0005980861568711,0.0005980861851733,0.0005980861274492,0.048857015216959,0.0171043388602836,0.2637508813174463,0.0005980861613241,0.0392883659255256,0.000598086192264,0.0005980861380272,0.0005980861261369,0.000598086179608,0.380298895230333,0.1171754514230962,0.3577385465179248,0.4541189139296976,0.9979919658553876,0.901821862348178,0.3394476504534212,0.1371101880258922,sadness,1.0,sadness,https://www.shazam.com/track/46118369/mohabbat-bhi-jhuti
4,frankie laine,i believe,1950,pop,believe drop rain fall grow believe darkest night candle glow believe go astray come believe believe believe smallest prayer hear believe great hear word time hear bear baby touch leaf believe believe believe lord heaven guide sin hide believe calvary die pierce believe death rise meet heaven loud amen know believe,51,0.0355371338259024,0.0967767422782969,0.4434351738186404,0.0012836971138939,0.0012836970540271,0.0270074773775298,0.0012836971498796,0.0012836971222831,0.001283697114412,0.1180338411682359,0.0012836970925897,0.2126810671851602,0.0511241990177646,0.0012836970563617,0.0012836971300268,0.0012836971751683,0.3317448283331528,0.64753993282568,0.9548192317462166,1.5283400809716598e-06,0.3250206100577081,0.2632402533492537,world/life,1.0,fear,https://www.shazam.com/track/67939012/i-believe
6,johnnie ray,cry,1950,pop,sweetheart send letter goodbye secret feel better wake dream think real false emotions feel heartaches hang long blue get bluer song remember cloudy hair,24,0.0027700831129647,0.0027700832169508,0.0027700833382844,0.0027700833102657,0.0027700831051331,0.0027700831495385,0.1585644656581314,0.2506679099206141,0.002770083254843,0.3237940521915833,0.0027700834662438,0.0027700833214308,0.0027700832919671,0.0027700835135814,0.0027700831908286,0.225422323308264,0.4562980613018521,0.585288311155552,0.8403612855032989,0.0,0.3518136850783182,0.1391122525548345,music,1.0,joy,https://www.shazam.com/track/5354069/cry
10,pérez prado,patricia,1950,pop,kiss lips want stroll charm mambo chacha meringue heaven arm japan brag geisha care long uncle eye starry sort gleam like million dollar dream come true everybody wish steal heart away guess try eye starry sort gleam like million dollar dream come true kiss lips want stroll charm japan brag geisha care long uncle,54,0.048249123783699,0.0015479876476494,0.0015479877360062,0.0015479878225723,0.0215003554762122,0.0015479876581524,0.4115358246343062,0.0015479877495862,0.0015479877133966,0.0015479876733447,0.1292497848687442,0.0015479877229543,0.0015479876490571,0.0811317603482602,0.2258894842203273,0.0015479876193977,0.6869923101917037,0.7444042765941081,0.0839348232277341,0.1993927125506072,0.7753503709810387,0.7437357402953926,romantic,1.0,anger,https://www.shazam.com/track/65993470/patricia
12,giorgos papadopoulos,apopse eida oneiro,1950,pop,till darling till matter know till dream live apart know hearts till world free oceans cross mountains climb know gain loss pray loss time till dream till memory till hold till oceans cross mountains climb know gain loss pray loss time till dream till memory till hold till,48,0.0013495276983575,0.0013495277107178,0.4177722727138843,0.0013495277698047,0.0013495276752446,0.001349527706827,0.4634300948612802,0.0013495278059973,0.0013495276912565,0.0013495276771366,0.0013495277127997,0.0013495277971729,0.0297545651012907,0.0013495276845286,0.068800151628371,0.0013495276709066,0.2916711794649627,0.6464887316360279,0.9759035902646488,0.000245951417004,0.597073371805441,0.3943754799949707,romantic,1.0,fear,https://www.shazam.com/track/136743672/apopse-eida-oneiro
14,perry como,round and round (with mitchell ayres and his orchestra & the ray charles singers),1950,pop,convoy light dead ahead merchantmen trump diesels hammer oily kill grind knuckle white eye alight slam hatch deadly night cunning chicken lair hound hell devil care run silent run deep final prayer warriors secret sleep merchantman nightmare silent death lie wait run silent run deep sink final sleep chill hearts fight open ocean wonder lethal silver fish boat shiver cast millions play killer victim fool obey order rehearse lifeboat shatter hull tear black smell burn jones eye watch crosswire tube ready medal chest weeks dead like rest run silent run deep final prayer warriors secret sleep merchantman nightmare,98,0.0010526315827131,0.4206846660518329,0.0010526316098598,0.0740782844716694,0.0010526315799465,0.001052631588461,0.0010526315973327,0.0010526316856165,0.0010526316491178,0.0010526317073738,0.0010526316143697,0.1721731259860281,0.0010526315943902,0.0010526316363618,0.1282918261528421,0.0010526315799163,0.689158453373768,0.6855882880804041,0.8985942756970641,0.0,0.7681368507831822,0.5495354809879948,violence,1.0,anger,https://www.shazam.com/track/5194421/round-and-round
15,freestyle,opm medley: when i met you,1950,pop,piece mindin world knowin life come bring give world know give reason feelin give mean life go exist begin touch hair look eye know know good sure endure light world care away ache give reason feelin give mean life go exist begin bakit ganyan bakit ganyan ibig lagi kang pagmasdan umula umaraw hindi pagsasawaan iyong katangian damdamin ibangiba kapag kapiling sinta bakit ganyan damdamin maintindihan kailangan pagibig dahil nagmamahal magmula nang kita makilala bakit ganyan kung minsan nauutal kaba kapag kausap ngunit lumalakas loob kung ikaw nakatawa bakit ganyan damdamin maintindihan kailangan pagibig dahil nagmamahal magmula nang kita makilala think inlove feel restless inside want want thoughts night mind think think think single single night single moment life want spend think think think tell care tell tell feel word explain happen fast exactly feel right know long madness cause think think think single single night single moment life want spend think think think tell care tell tell feel medley give reason feelin give mean life go exist begin give reason feelin give mean life go exist begin think inlove,179,0.0004828585359289,0.0004828585391496,0.3718167049375792,0.0407119662211247,0.0004828585271789,0.0004828585260143,0.0004828585703156,0.3847028203575036,0.0004828585383085,0.000482858532921,0.0004828585460472,0.0443546707126641,0.0004828585263456,0.0004828585627096,0.000482858565636,0.1231498770060476,0.3685692624282465,0.63369484398636,0.4357424053638608,0.0,0.2827699917559769,0.486470448326314,world/life,1.0,joy,https://www.shazam.com/track/56079275/opm-medley
17,johnny mathis,it's not for me to say,1950,pop,care moment hold fast press lips dream heaven speak share glow grow pass meet break speak share glow grow pass meet,21,0.0025062656672485,0.0025062658390069,0.336056481879689,0.0025062656855382,0.0025062656644163,0.0025062656876167,0.1768608110005607,0.0025062658034705,0.0025062657410775,0.0025062657144184,0.0025062657920749,0.3868866188357865,0.0025062657582271,0.0025062656878443,0.0626021023249228,0.0025062656642348,0.3793999783385682,0.529420813783555,0.925702736649334,7.196356275303643e-05,0.3734542456718879,0.192166962571804,world/life,1.0,fear,https://www.shazam.com/track/288326319/its-not-for-me-to-say-from-the-mgm-film-lizzie
20,stélios kazantzídis,klapse me mana klapse me,1950,pop,lonely night surround power read mind hour night kiss lips hold tight unending real begin lonely night surround know certain flirtin night kiss lips hold tight baby maybe baby maybe,30,0.0835372026172713,0.0020242916742601,0.0020242916500493,0.2482727910418802,0.0020242915130791,0.0020242914985047,0.4018011071559509,0.1677832979623083,0.0020242915635135,0.0020242916136573,0.0020242915602603,0.0020242917177953,0.0020242916889425,0.0020242915137354,0.0020242916616842,0.0315996775839311,0.4963717101700423,0.6661795246519497,0.9748995731923428,1.437246963562753e-05,0.6218054410552348,0.4003816735817975,romantic,1.0,sadness,https://www.shazam.com/track/109067070/klapse-me-mana-klapse-me
23,stélios kazantzídis,finito la mouzika,1950,pop,tear heart seat stay awhile tear heart game steal glimpse eye stare awhile steal glimpse eye game half awhile half game word mouth swallow speak awhile word mouth game offer lose say mean right look size right tear heart seat stay awhile tear heart game steal glimpse eye stare awhile steal glimpse eye game offer lose say mean right look size,61,0.001119820838297,0.1025478341787261,0.0011198208536843,0.0539437893014235,0.0011198208433863,0.0011198208342888,0.0011198208453101,0.0915719444916036,0.0011198209172559,0.0011198208463548,0.105751590295529,0.0011198208628634,0.0011198208306729,0.0011198208888459,0.630507349802192,0.0011198208287422,0.6620816635979638,0.6431300156398225,0.9839357268430994,0.0001751012145748,0.7444352844187963,0.413395093019922,sadness,1.0,sadness,https://www.shazam.com/track/64647032/finito-la-mouzika-feat-marinella
